docker,faasd
0.23012089729309082,0.6670536994934082
0.33731913566589355,0.600813627243042
0.27310824394226074,0.5900769233703613
0.2617208957672119,0.5833356380462646
0.2734665870666504,0.6054778099060059
0.3386819362640381,0.5806856155395508
0.33817315101623535,0.5763962268829346
0.33747315406799316,0.5919089317321777
0.3410482406616211,0.6028420925140381
0.33809828758239746,0.5951933860778809
0.3388633728027344,0.5924501419067383
0.33458399772644043,0.5947813987731934
0.25929903984069824,0.5958664417266846
0.34056687355041504,0.6176831722259521
0.259505033493042,0.591261625289917
0.27358317375183105,0.5794830322265625
0.33818578720092773,0.5865716934204102
0.3388478755950928,0.578890323638916
0.33893871307373047,0.5818560123443604
0.34447503089904785,0.6027815341949463
0.3445768356323242,0.5934374332427979
0.3351171016693115,0.5869913101196289
0.3358900547027588,0.5959188938140869
0.27353739738464355,0.6042947769165039
0.2642178535461426,0.6020703315734863
